library,path,issue,value
CLASSICAL,"/data/Music/CLASSICAL/Elgar - Enigma Variations op. 36, Cockaigne Overture op. 40, Serenade for String Orchestra op. 20/04.- Serenade in E minor, Op. 20- II. Larghetto.flac",missing_albumartist,
CLASSICAL,"/data/Music/CLASSICAL/Elgar - Enigma Variations op. 36, Cockaigne Overture op. 40, Serenade for String Orchestra op. 20/05.- Serenade in E minor, Op. 20- III. Allegretto.flac",missing_albumartist,
CLASSICAL,"/data/Music/CLASSICAL/Elgar - Enigma Variations op. 36, Cockaigne Overture op. 40, Serenade for String Orchestra op. 20/06.- Enigma Variations, Op. 36- Introduction (Enigma theme).flac",missing_albumartist,
CLASSICAL,"/data/Music/CLASSICAL/Elgar - Enigma Variations op. 36, Cockaigne Overture op. 40, Serenade for String Orchestra op. 20/07.- Enigma Variations, Op. 36- I. (C.A.E.)- L'istesso tempo.flac",missing_albumartist,
CLASSICAL,"/data/Music/CLASSICAL/Elgar - Enigma Variations op. 36, Cockaigne Overture op. 40, Serenade for String Orchestra op. 20/08.- Enigma Variations, Op. 36- II. (H.D.S.-P.)- Allegro.flac",missing_albumartist,
CLASSICAL,"/data/Music/CLASSICAL/Elgar - Enigma Variations op. 36, Cockaigne Overture op. 40, Serenade for String Orchestra op. 20/09.- Enigma Variations, Op. 36- III. (R.B.T.)- Allegretto.flac",missing_albumartist,
CLASSICAL,"/data/Music/CLASSICAL/Elgar - Enigma Variations op. 36, Cockaigne Overture op. 40, Serenade for String Orchestra op. 20/10.- Enigma Variations, Op. 36- IV. (W.M.B.)- Allegro di molto.flac",missing_albumartist,
CLASSICAL,"/data/Music/CLASSICAL/Elgar - Enigma Variations op. 36, Cockaigne Overture op. 40, Serenade for String Orchestra op. 20/11.- Enigma Variations, Op. 36- V. (R.P.A.)- Moderato.flac",missing_albumartist,
CLASSICAL,"/data/Music/CLASSICAL/Elgar - Enigma Variations op. 36, Cockaigne Overture op. 40, Serenade for String Orchestra op. 20/12.- Enigma Variations, Op. 36- VI. (Ysobel.)- Andantino.flac",missing_albumartist,
CLASSICAL,"/data/Music/CLASSICAL/Elgar - Enigma Variations op. 36, Cockaigne Overture op. 40, Serenade for String Orchestra op. 20/13.- Enigma Variations, Op. 36- VII. (Troyte.)- Presto.flac",missing_albumartist,
